end_date,n_assets,n_edges,density,is_dag,dag_depth,n_roots,n_leaves,rebalance,method,window
2013-07-08,99,586,0.060399917542774684,True,51,2,8,2013-07-08,dynotears,252
2013-08-06,99,709,0.07307771593485879,True,51,1,6,2013-08-06,dynotears,252
2013-09-05,99,613,0.06318284889713462,True,46,2,5,2013-09-05,dynotears,252
2013-10-04,99,552,0.05689548546691404,True,49,1,5,2013-10-04,dynotears,252
2013-11-04,99,598,0.06163677592249021,True,49,2,3,2013-11-04,dynotears,252
2013-12-04,99,705,0.07266542980828695,True,52,1,5,2013-12-04,dynotears,252
2014-01-06,99,721,0.07431457431457432,True,53,1,3,2014-01-06,dynotears,252
2014-02-05,99,690,0.07111935683364255,True,52,1,4,2014-02-05,dynotears,252
2014-03-07,99,729,0.075139146567718,True,50,1,3,2014-03-07,dynotears,252
2014-04-07,99,663,0.06833642547928262,True,37,2,5,2014-04-07,dynotears,252
2014-05-07,99,635,0.06545042259327974,True,46,1,7,2014-05-07,dynotears,252
2014-06-06,99,649,0.06689342403628118,True,58,1,7,2014-06-06,dynotears,252
2014-07-08,99,642,0.06617192331478046,True,47,1,3,2014-07-08,dynotears,252
2014-08-06,99,533,0.054937126365697794,True,46,2,6,2014-08-06,dynotears,252
2014-09-05,99,541,0.055761698618841476,True,45,5,7,2014-09-05,dynotears,252
2014-10-06,99,545,0.05617398474541332,True,53,4,5,2014-10-06,dynotears,252
2014-11-04,99,574,0.05916305916305916,True,45,1,6,2014-11-04,dynotears,252
2014-12-04,99,587,0.060502989074417646,True,56,2,6,2014-12-04,dynotears,252
2015-01-06,99,534,0.055040197897340756,True,45,1,8,2015-01-06,dynotears,252
2015-02-05,99,549,0.05658627087198516,True,55,2,4,2015-02-05,dynotears,252
2015-03-09,99,640,0.06596578025149454,True,52,1,3,2015-03-09,dynotears,252
2015-04-08,99,543,0.055967841682127394,True,46,1,3,2015-04-08,dynotears,252
2015-05-07,99,580,0.059781488352916926,True,62,1,3,2015-05-07,dynotears,252
2015-06-08,99,607,0.06256441970727684,True,46,1,6,2015-06-08,dynotears,252
2015-07-08,99,608,0.0626674912389198,True,43,2,7,2015-07-08,dynotears,252
2015-08-06,99,546,0.05627705627705628,True,51,2,3,2015-08-06,dynotears,252
2015-09-04,99,593,0.061121418264275404,True,56,1,8,2015-09-04,dynotears,252
2015-10-06,99,635,0.06545042259327974,True,61,1,7,2015-10-06,dynotears,252
2015-11-04,99,598,0.06163677592249021,True,49,2,5,2015-11-04,dynotears,252
2015-12-04,99,586,0.060399917542774684,True,45,2,4,2015-12-04,dynotears,252
2016-01-06,99,518,0.05339105339105339,True,51,3,10,2016-01-06,dynotears,252
2016-02-05,99,611,0.06297670583384869,True,50,3,8,2016-02-05,dynotears,252
2016-03-08,99,601,0.061945990517419086,True,58,3,8,2016-03-08,dynotears,252
2016-04-07,99,591,0.06091527520098949,True,51,3,7,2016-04-07,dynotears,252
